match,win,lose,tie
1,1,0,0
2,0,1,0
3,4,1,0
4,1,0,0
5,0,1,0
6,0,0,0
7,0,1,0
8,0,0,0
9,0,0,0
10,0,0,0
11,0,0,0
12,0,1,0
13,0,0,0
14,1,0,0
15,1,0,0
16,0,1,0
17,0,0,0
18,0,0,0
19,0,0,0
20,0,1,0
21,0,0,0
22,0,0,0
23,0,0,0
24,0,1,0
25,0,0,1
26,0,1,0
27,0,0,0
28,0,1,0
29,0,0,0
30,0,0,0
31,0,0,0
32,0,0,0
33,0,0,0
34,0,1,0
35,0,1,0
36,0,0,0
37,0,0,0
38,0,0,1
39,4,5,0
40,0,0,0
41,0,1,0
42,0,0,0
43,0,0,0
44,0,0,0
45,0,0,0
46,0,0,0
47,0,0,0
48,0,1,0
49,0,0,0
50,1,2,1
51,1,0,0
52,0,1,0
53,0,0,1
54,0,0,0
55,1,0,0
56,1,2,0
57,0,0,0
58,0,1,0
59,0,1,1
60,0,0,0
61,0,1,0
62,4,1,1
63,0,0,0
64,0,0,0
65,0,0,0
66,0,0,0
67,0,0,0
68,0,0,0
69,0,0,0
70,0,0,0
71,0,0,0
72,0,0,0
73,0,0,0
74,0,0,0
75,0,0,0
76,0,0,0
77,0,0,0
78,0,0,0
79,0,0,0
80,0,0,0
81,0,0,0
82,0,0,0
83,0,0,0
84,0,0,0
85,0,0,0
86,0,0,0
87,0,0,0
88,0,0,0
89,0,0,0
90,0,0,0
91,0,0,0
92,0,0,0
93,0,0,0
94,0,0,0
95,1,0,0
96,1,0,0
97,0,0,0
98,1,0,0
99,6,0,1
100,0,0,0
101,1,1,0
102,0,0,0
103,0,1,0
104,2,1,0
105,0,0,0
106,1,0,0
107,0,0,1
108,0,0,0
109,2,0,0
110,0,0,0
111,1,0,0
112,0,0,0
113,0,0,0
114,0,0,0
115,0,0,0
116,0,0,0
117,0,0,0
118,0,0,0
119,0,0,0
120,1,0,0
121,0,0,1
122,0,1,0
123,0,0,0
124,0,0,0
125,0,0,0
126,0,1,0
127,1,0,0
128,1,0,0
129,0,0,0
130,0,0,0
131,0,0,0
132,0,1,0
133,0,0,0
134,1,0,0
135,0,3,0
136,1,0,0
137,1,3,1
138,0,0,0
139,0,1,0
140,0,1,0
141,0,1,0
142,0,1,0
143,0,1,0
144,6,2,0
145,0,0,0
146,0,0,0
147,1,2,0
148,0,0,0
149,0,0,0
150,2,1,0
151,0,0,0
152,1,0,0
153,0,0,0
154,0,0,0
155,0,0,0
156,0,0,0
157,0,0,0
158,9,5,2
159,0,0,0
160,5,1,0
161,0,0,0
162,0,0,0
163,0,0,0
164,1,0,0
165,1,2,0
166,1,3,0
167,0,0,0
168,1,0,0
169,0,3,0
170,3,3,1
171,0,0,0
172,0,0,0
173,0,0,0
174,6,9,1
175,4,1,0
176,8,4,0
177,7,3,0
178,6,1,1
179,10,3,1
180,4,4,0
181,4,2,0
182,4,3,0
183,21,10,2
184,15,15,0
185,4,5,0
186,5,2,2
187,13,17,2
188,1,0,0
189,1,0,1
190,0,0,0
191,0,0,0
192,0,0,0
193,1,2,0
194,11,3,1
195,0,0,0
196,0,0,0
197,13,8,2
198,4,8,0
199,1,2,0
200,0,0,0
201,4,2,0
202,0,0,0
203,1,1,0
204,0,0,0
205,1,2,0
206,1,2,0
207,0,0,0
208,2,0,0
209,1,1,2
210,0,0,0
211,0,0,0
212,9,11,1
213,9,7,3
